ward_code,period,median_price
E05012979,Jun 1997,78000.0
E05011713,Jun 1997,88500.0
E05006627,Jun 1997,120000.0
E05006628,Jun 1997,140000.0
E05006629,Jun 1997,87000.0
E05006637,Jun 1997,67000.0
E05006650,Jun 1997,74000.0
E05006642,Jun 1997,121250.0
E05010782,Jun 1997,82950.0
E05006653,Jun 1997,90000.0
E05006638,Jun 1997,77975.0
E05006639,Jun 1997,81500.0
E05006640,Jun 1997,89000.0
E05006647,Jun 1997,84950.0
E05006632,Jun 1997,59000.0
E05006648,Jun 1997,75950.0
E05006649,Jun 1997,67000.0
E05006634,Jun 1997,69000.0
E05006643,Jun 1997,88000.0
E05010783,Jun 1997,93875.0
E05006651,Jun 1997,68000.0
E05009363,Jun 1997,145000.0
E05006644,Jun 1997,73975.0
E05006645,Jun 1997,109000.0
E05006646,Jun 1997,97000.0
E05009364,Jun 1997,84575.0
E05009365,Jun 1997,59950.0
E05010781,Jun 1997,121000.0
E05006652,Jun 1997,71500.0
E05010922,Sep 1997,51000.0
E05010923,Sep 1997,49050.0
E05010924,Sep 1997,44600.0
E05010925,Sep 1997,59000.0
E05010921,Sep 1997,51500.0
E05010930,Sep 1997,111500.0
E05010932,Sep 1997,74475.0
E05011349,Sep 1997,73500.0
E05012969,Sep 1997,112000.0
E05010933,Sep 1997,71500.0
E05010934,Sep 1997,95750.0
E05010928,Sep 1997,62500.0
E05012968,Sep 1997,75976.0
E05010926,Sep 1997,61950.0
E05010929,Sep 1997,113250.0
E05011348,Sep 1997,100000.0
E05006546,Sep 1997,54000.0
E05006547,Sep 1997,110000.0
E05006548,Sep 1997,67975.0
E05006545,Sep 1997,67000.0
E05006549,Sep 1997,70000.0
E05006550,Sep 1997,80000.0
E05006552,Sep 1997,74000.0
E05006568,Sep 1997,92500.0
E05006566,Sep 1997,92750.0
E05006563,Sep 1997,84000.0
E05006561,Sep 1997,62995.0
E05006556,Sep 1997,100000.0
E05006558,Sep 1997,75700.0
E05006567,Sep 1997,135000.0
E05006553,Sep 1997,101750.0
E05006555,Sep 1997,77000.0
E05006564,Sep 1997,92050.0
E05006559,Sep 1997,82000.0
E05006551,Sep 1997,115000.0
E05006565,Sep 1997,119500.0
E05006562,Sep 1997,85000.0
E05006560,Sep 1997,174250.0
E05006557,Sep 1997,67000.0
E05009733,Sep 1997,109500.0
E05009734,Sep 1997,68000.0
E05009735,Sep 1997,88000.0
E05009736,Sep 1997,97500.0
E05011712,Sep 1997,155000.0
