Area code,Area name,Superfast availability,Gigabit availability,Below universal service obligation,"Average download speed
(Mbps)",Receiving under 10 Mbps,Receiving over 30 Mbps,local_authority_code
E02005972,"Hagbourne, Moreton & Cholsey",0.971862273232136,0.659940762680488,0.0,141.371295474711,0.0201863354037267,0.864463176574977,E07000179
E02005973,Henley North,0.998817966903073,0.928191489361702,0.000295508274231678,134.940964285714,0.0125,0.900357142857142,E07000179
E02005974,Henley South,0.999369085173501,0.952365930599369,0.0,149.757388701833,0.00673400673400673,0.918069584736251,E07000179
E02005975,"Goring, Woodcote & Whitchurch",0.956388888888888,0.541944444444444,0.00194444444444444,65.8137860082304,0.0219478737997256,0.778463648834019,E07000179
E02005976,Shiplake & Binfield Heath,0.959057971014492,0.49927536231884,0.00036231884057971,85.2394537815126,0.0373949579831932,0.816386554621848,E07000179
E02005977,Sonning Common & Kidmore End,0.977155490051584,0.730655858511422,0.00110537951363301,67.1836808703535,0.0262919310970081,0.828195829555757,E07000179
E02005943,Marston,0.999633296662999,0.891822515584891,0.0,159.298921832884,0.0251572327044025,0.940251572327044,E07000178
E02005944,Barton,1.0,0.783627342888643,0.0,179.085363128491,0.00893854748603351,0.94413407821229,E07000178
E02005945,Headington,0.988377498837749,0.750813575081357,0.0,143.881578129853,0.0173967070518794,0.891270580925753,E07000178
E02005946,Risinghurst & Sandhills,0.997600639829378,0.840842442015462,0.0,162.86806779661,0.0135593220338983,0.91593220338983,E07000178
E02005947,Oxford Central,0.933847637415621,0.471938283510125,0.0,111.806748695003,0.0563012677106636,0.810589112602535,E07000178
E02005949,Churchill,0.691638472692121,0.469792170130497,0.0,152.151096033402,0.0334029227557411,0.869519832985386,E07000178
E02005950,East Central Oxford,0.967929401635815,0.853852776582006,0.0,190.374191651969,0.0629041740152851,0.893885949441505,E07000178
E02005951,Grandpont & New Hinksey,0.993573723670117,0.773295251695822,0.0,144.636277751535,0.0127538970240906,0.921114785073216,E07000178
E02005953,Iffley Fields,0.973534201954397,0.897801302931596,0.0,198.838424437299,0.0584137191854233,0.923901393354769,E07000178
E02005954,Cowley South & Iffley,0.971559833734412,0.82170203456574,0.0,158.908381067229,0.0198974977389207,0.856496834488996,E07000178
E02005955,Littlemore & Rose Hill,0.971385823826444,0.763979801757995,0.0,159.654470681878,0.0323693287344123,0.878482356062616,E07000178
E02005956,Blackbird Leys,0.983628028814669,0.776031434184675,0.0,180.821156697973,0.0266930301532377,0.872466633712308,E07000178
E02005957,Greater Leys,0.999668325041459,0.883250414593698,0.00033167495854063,174.110235870048,0.0289274588340008,0.914997774810859,E07000178
E02007021,Lye Valley & Cowley East,0.997225647348951,0.843094944512947,0.0,164.316157388028,0.0192549183758894,0.863541230640435,E07000178
E02007116,Cowley North,0.965073529411764,0.747855392156862,0.0,139.136683630195,0.0156912637828668,0.919423240033927,E07000178
E02005937,Kidlington North,0.997830130192188,0.932424054556726,0.0,144.036914285714,0.00838095238095238,0.896380952380952,E07000177
E02005938,Kidlington South,0.999582811848143,0.965790571547768,0.0,172.522132390096,0.011622031328954,0.914098029307731,E07000177
E02005939,"Begbroke, Yarnton & Water Eaton",0.974955277280858,0.714967203339296,0.0,136.336861181587,0.0402319681043856,0.885828198622689,E07000177
E02005940,Wolvercote & Cutteslowe,0.998427178357974,0.759358288770053,0.0,157.408718170047,0.0176952956409149,0.904618040569702,E07000178
E02005941,Summertown,0.990168970814132,0.780645161290322,0.0,151.86734939759,0.0136546184738955,0.906827309236947,E07000178
E02005942,North Central Oxford,0.993219129193433,0.638115631691648,0.0,154.117601918465,0.00719424460431654,0.931414868105515,E07000178
E02005948,"Osney, Jericho & Port Meadow",0.97096956031567,0.682919954904171,0.0,148.960145237078,0.025630072618539,0.930798803929944,E07000178
E02005978,"Dean Court, Cumnor & Appleton",0.985236517023199,0.829466706839409,0.00150647785477553,171.173842432619,0.0411195577055977,0.884243261921216,E07000180
E02005979,Botley & Kennington,0.974716091707735,0.765802442682665,0.0,155.633315290933,0.0243572395128552,0.909607577807848,E07000180
E02005980,"Radley, Wootton & Marcham",0.989771833202203,0.904405979543666,0.000786782061369,167.183373904576,0.0389483933787731,0.869279454722492,E07000180
E02005981,Abingdon Northcourt & Peachcroft,0.998897464167585,0.971334068357221,0.0,157.751869014519,0.0163731850478838,0.92029657089898,E07000180
E02005982,Abingdon Audlett Drive & Farm Road,0.999616711383671,0.937907244154848,0.0,145.388326493388,0.02234382124943,0.883264933880529,E07000180
